日期,交易类型,股票名称,最后持有股票数量,交易股票数量,交易价格,交易金额,交易成本,交易前股票数量,交易后股票数量,DCF价值,行业,估值比%,价值比描述,估值描述,价值过滤器,超买超卖过滤器,动量过滤器,价格成交量过滤器,满足维度数,actionDesc,收盘价,成交量,RSI指标,MACD DIF,MACD DEA,MACD HIST,boll_upper,boll_middle,量能倍数,行业RSI极端超买阈值,行业RSI极端超卖阈值,行业RSI超买阈值,行业RSI超卖阈值
2024-08-12,sell,温氏股份(300498),0,-200,19.82,-3954.88,9.12,400.0,200.0,20.0,农牧饲渔,0.99,价值比0.99,"合理区间0.85, 建议减仓比例:-50%",Y,Y,N,Y,3/4,卖出信号: 价值过滤器 + 3个卖出维度,19.53,1174851.0,48.16,0.15,0.29,-0.14,22.16,20.07,0.93,61.14,39.72,59.72,41.71
2024-08-19,sell,温氏股份(300498),0,-100,19.25,-1920.57,4.43,200.0,100.0,20.0,农牧饲渔,0.96,价值比0.96,"合理区间0.85, 建议减仓比例:-50%",Y,Y,N,Y,3/4,卖出信号: 价值过滤器 + 3个卖出维度,17.44,2080662.0,37.94,-0.06,0.22,-0.28,22.36,19.96,1.42,61.14,39.72,59.72,41.71
2024-09-23,sell,温氏股份(300498),0,-100,15.64,-1560.4,3.6,100.0,0.0,20.0,农牧饲渔,0.78,价值比0.78,"合理区间0.85, 建议减仓比例:-50%",Y,Y,Y,N,3/4,卖出信号: 价值过滤器 + 3个卖出维度,18.32,2476241.0,47.9,-0.72,-0.35,-0.37,23.17,19.35,1.72,61.14,39.72,59.72,41.71
2024-09-30,sell,温氏股份(300498),0,0,0.0,0.0,0.0,,,20.0,农牧饲渔,1.01,价值比1.01,"合理区间0.85, 建议减仓比例:-50%",Y,Y,Y,N,3/4,卖出信号: 价值过滤器 + 3个卖出维度,20.14,1102164.0,55.88,-0.5,-0.38,-0.12,23.02,19.29,0.77,61.14,39.72,59.72,41.71
2024-10-08,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.38,价值比0.38,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,32.45,1295461.0,52.88,-0.59,-1.79,1.2,34.18,28.74,1.62,71.46,41.31,68.0,44.52
2024-10-08,sell,温氏股份(300498),0,0,0.0,0.0,0.0,,,20.0,农牧饲渔,1.07,价值比1.07,"合理区间0.85, 建议减仓比例:-50%",Y,Y,Y,N,3/4,卖出信号: 价值过滤器 + 3个卖出维度,18.62,5485196.0,49.11,-0.44,-0.39,-0.04,22.64,19.12,2.16,61.14,39.72,59.72,41.71
2024-10-14,sell,温氏股份(300498),0,0,0.0,0.0,0.0,,,20.0,农牧饲渔,0.94,价值比0.94,"合理区间0.85, 建议减仓比例:-50%",Y,Y,Y,N,3/4,卖出信号: 价值过滤器 + 3个卖出维度,18.28,2652338.0,47.72,-0.41,-0.4,-0.02,22.33,18.97,0.91,61.14,39.72,59.72,41.71
2024-10-28,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.35,价值比0.35,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,34.84,1288609.0,57.5,0.27,-0.91,1.18,36.17,29.35,1.13,71.46,41.31,68.0,44.52
2024-11-11,buy,神火股份(000933),56900,0,0.0,0.0,0.0,,,36.0,有色金属,0.53,价值比0.53,"极度低估0.59, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,18.1,1563811.0,49.56,-0.2,-0.49,0.3,21.67,17.4,0.75,75.82,45.34,73.89,47.38
2024-11-11,buy,云铝股份(000807),46100,0,0.0,0.0,0.0,,,25.0,有色金属,0.64,价值比0.64,"明显低估0.69, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,14.76,2004404.0,56.71,0.52,0.21,0.32,16.26,13.25,0.81,75.82,45.34,73.89,47.38
2024-11-11,buy,江西铜业(600362),55200,0,0.0,0.0,0.0,,,50.0,有色金属,0.46,价值比0.46,"极度低估0.54, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,21.8,1251650.0,48.27,0.07,-0.07,0.14,25.21,21.73,0.81,75.82,45.34,73.89,47.38
2024-11-18,buy,神火股份(000933),56900,0,0.0,0.0,0.0,,,36.0,有色金属,0.47,价值比0.47,"极度低估0.59, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,15.89,2265333.0,42.69,-0.35,-0.46,0.11,21.1,17.14,1.04,75.82,45.34,73.89,47.38
